id,name,price,description,url,imageurl
11736753M,Summer Bomber Jacket,315.0,"This lightweight bomber jacket is the epitome of summer style. An old school look mixed with a modern fit. Made in our lightweight brushed cotton polyester fabric. 70% cotton, 30% polyester short bomber jacket stand up collar with tab and button detailing front zip closure strip elastic hem detailing dry clean only",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/mens-summer-bomber-jacket/11736753M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw6ed27b95/images/large/B0574182_001_0.jpg
12416789M,Straight Leg Trousers,195.0,"A menswear favorite, these straight leg trousers are to the point when it comes to business dressing. Made in our lightweight combed stretch cotton suiting with pinstripe pattern. 80% cotton, 15% nylon, 5% elastane straight leg clean cut front rise 10 1/4 inches back rise 14 3/4 inches leg opening 15 1/2 inches inseam 34 1/4 inches measurements taken from a size 32 dry clean only",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/mens-pants-straight-leg-trousers/12416789M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw89558602/images/large/B0274206_GYX_0.jpg
21736758M,Two Button Sport Coat,475.0,"This modern sportcoat easily pairs with shorts, jeans or as part of a summer suit. Made in our cotton stretch end-on-end suiting fabric with a micro-stripe pattern. 85% cotton, 11% poly amid, 4% elastane two-button half lined double vented with welt pockets inside vertical pocket functional button cuffs dry clean only",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/mens-two-button-sportcoat/21736758M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw7fdc176b/images/large/B0574185_P2V_0.jpg
22416787M,Slim Pants,175.0,"These slim fit pants are the perfect base for spring dressing. Made in our washed cotton twill fabric. 97% cotton, 3% elastane flat front front pockets and besom back pockets zip fly and covered hook and eye closure front rise 10 3/4 inches back rise 15 1/4 inches leg opening 15 inches inseam 33 inches measurements taken from a size 32 dry clean only",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/mens-slim-pants/22416787M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa0dffff9/images/large/B0274208_ED5_0.jpg
22951021M,Classic Wrap,34.0,Our classic wrap is a must have for topping outfits. Try any one of our great colors to spice up your wardrobe! Our classic wrap is a must have for topping outfits. Try any one of our great colors to spice up your wardrobe!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/classic-wrap/22951021M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw22d61df8/images/large/PG.W20766.LEAOLXX.PZ.jpg
22956726M,Platinum V Neck Suit Dress,45.0,"shortDescription This sleeveless v neck dress is a classic piece for your suiting collection year round. Matched with any suit jacket, solid or patterned, you look professional and sharp. Create a feminine and soft look sporting this piece on its own or with a colorful pashmina. longDescription This sleeveless v neck dress is a classic piece for your suiting collection year round. Matched with any suit jacket, solid or patterned, you look professional and sharp. Create a feminine and soft look sporting this piece on its own or with a colorful pashmina.",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/platinum-v-neck-suit-dress/22956726M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4e88217a/images/large/PG.821301999.JJDH0XX.PZ.jpg
22962004M,No-Iron Easy Care French Cuff Striped Shirt,75.0,No need to iron or press this top! Just wash and dry and you're ready to go with a wrinkle-free look. Crisp black and white stripes and a tailored fit make this the perfect suiting piece for women on the go. No need to iron or press this top! Just wash and dry and you're ready to go with a wrinkle-free look. Crisp black and white stripes and a tailored fit make this the perfect suiting piece for women on the go.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/no-iron-easy-care-french-cuff-striped-shirt/22962004M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dweccd70a3/images/large/PG.8211X3997.JJ001XX.PZ.jpg
25050730M,Platinum Red Stripes Easy Care Fitted Shirt,75.0,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/platinum-red-stripes-easy-care-fitted-shirt/25050730M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa425eb92/images/large/PG.10123426.JJ8WXXX.PZ.jpg
25050736M,Platinum Blue Stripes Easy Care Fitted Shirt ,75.0,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/platinum-blue-stripes-easy-care-fitted-shirt-/25050736M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw66c8a200/images/large/PG.10123215.JJV61XX.PZ.jpg
25113204M,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,59.0,"If you're a fan of our classic easy care fitted shirts, then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/no-iron-platinum-easy-care-sleeveless-fitted-shirt/25113204M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw54c12729/images/large/PG.10140422.JJG28XX.PZ.jpg
25148430M,Must Have Washable No-Iron Georgette Blouse,69.0,"This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is, you don't have to take it to the dry cleaners!",https://zzsu-060.dx.commercecloud.salesforce.com/s/RefArch/must-have-washable-no-iron-georgette-blouse/25148430M.html?lang=en_US,https://zzsu-060.dx.commercecloud.salesforce.com/on/demandware.static/-/Sites-apparel-m-catalog/default/dw1c4e2b0a/images/large/PG.10140430.JJ3WCXX.PZ.jpg
